fecha_hecho,sexo,edad,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna
2016-01-01 10:00:00-05:00,Mujer,59,No,Castilla,#0511,5
2016-01-01 10:00:00-05:00,Hombre,37,No,La Candelaria,#1019,10
2016-01-01 12:00:00-05:00,Mujer,40,No,Aranjuez,#0413,4
2016-01-01 10:00:00-05:00,Mujer,59,No,Castilla,#0511,5
2016-01-01 12:00:00-05:00,Mujer,40,No,Aranjuez,#0413,4
2016-01-01 22:20:00-05:00,Hombre,28,Objeto contundente,El Poblado,#1418,14
2016-01-01 06:18:00-05:00,Hombre,35,Arma cortopunzante,Florida Nueva,#1117,11
2016-01-01 12:00:00-05:00,Hombre,50,No,Guayaquil,#1007,10
2016-01-01 20:00:00-05:00,Hombre,36,No,Santo Domingo Savio No.1,#0101,1
2016-01-01 16:00:00-05:00,Hombre,48,Objeto contundente,Monteclaro,#0724,7
2016-01-01 22:20:00-05:00,Hombre,28,Objeto contundente,El Poblado,#1418,14
2016-01-01 16:00:00-05:00,Hombre,24,No,Santa Teresita,#1212,12
2016-01-01 16:00:00-05:00,Mujer,49,No,Llanaditas,#0806,8
2016-01-01 18:30:00-05:00,Mujer,45,No,La Candelaria,#1019,10
2016-01-01 09:00:00-05:00,Hombre,-1,No,Santa María de los Ángeles,#1423,14
2016-01-02 11:00:00-05:00,Hombre,-1,No,La Candelaria,#1019,10
2016-01-02 22:50:00-05:00,Mujer,65,No,Terminal de Transporte,#Inst_4,5
2016-01-02 22:50:00-05:00,Mujer,65,No,Terminal de Transporte,#Inst_4,5
2016-01-02 14:00:00-05:00,Hombre,-1,Arma de fuego,La Candelaria,#1019,10
2016-01-02 00:00:00-05:00,Hombre,35,Escopolamina,Los Conquistadores,#1105,11
2016-01-02 00:00:00-05:00,Hombre,35,Escopolamina,Los Conquistadores,#1105,11
2016-01-02 18:00:00-05:00,Hombre,34,Arma de fuego,Manrique Central No.1,#0409,4
2016-01-02 00:00:00-05:00,Hombre,35,Escopolamina,Los Conquistadores,#1105,11
2016-01-02 08:00:00-05:00,Mujer,-1,Arma cortopunzante,La Candelaria,#1019,10
2016-01-02 16:00:00-05:00,Hombre,44,No,Guayaquil,#1007,10
2016-01-02 19:00:00-05:00,Mujer,47,Arma de fuego,Belén,#1603,16
